,,Sample name,,RL0.061A,RL0.062A,RL0.063A,RL0.064A,RL0.065A,RL0.1251A,RL0.1252A,RL0.1253A,RL0.1254A,RL0.1255A,RL0.251A,RL0.252A,RL0.253A,RL0.254A,RL0.255A,RL0.51A,RL0.52A,RL0.53A,RL0.54A,RL0.55A,RL11A,RL12A,RL13A,RL14A,RL15A,RLCTRL1A,RLCTRL2A,RLCTRL3A,RLCTRL4A,RLCTRL5A,SH0.061A,SH0.062A,SH0.063A,SH0.064A,SH0.065A,SH0.1251A,SH0.1252A,SH0.1253A,SH0.1254A,SH0.1255A,SH0.251A,SH0.252A,SH0.253A,SH0.254A,SH0.255A,SH0.51A,SH0.52A,SH0.53A,SH0.54A,SH0.55A,SH11A,SH12A,SH13A,SH14A,SH15A,SHCTRL1A,SHCTRL2A,SHCTRL3A,SHCTRL4A,SHCTRL5A
RT,RI,Group,Class,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH
,,Concentration,,0.06,0.06,0.06,0.06,0.06,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,CTRL,CTRL,CTRL,CTRL,CTRL,0.06,0.06,0.06,0.06,0.06,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,CTRL,CTRL,CTRL,CTRL,CTRL
9.321993617,1520.53617,Phenylpyruvic acid oxime 2TMS,,-0.790503558,-0.087793509,0.084057758,0.096548754,0.116026909,-2.117577818,-0.075944815,-0.030338783,0.054215037,0.118488877,0.420955393,-2.186851792,-2.156151221,-2.191981788,-2.077735592,0.548312117,-2.411890147,-2.235723873,-2.227280559,0.034702366,-0.050171849,0.087056649,-0.106959673,0.13105649,-0.038136411,-0.066026693,-0.277353268,-0.008639166,-0.083409489,-0.699053519,0.667190935,0.395989985,0.182180054,0.473589616,0.4463374,0.90370023,0.940584919,1.246037821,0.908765448,0.570704205,-0.589022421,1.089156907,1.138140673,-0.022700994,0.840118013,-0.139536611,0.493639463,0.854713696,0.609329657,0.932603405,0.216049169,1.611883213,1.322462872,-0.453069101,0.947392859,0.569161418,0.880866642,0.597336659,0.439081304,0.155415734
10.1513,1594.414286,L-Glutamine 3TMS,Amino acids,-0.659608631,-0.127796965,-0.177703041,-0.642589048,-0.76239793,-0.623871185,-0.717713908,-0.567669829,-0.577279543,-0.569454545,-0.707719776,-0.662854443,-0.645579093,-0.665740927,-0.601446724,-0.75762172,-0.789402857,-0.690350748,-0.685600798,-0.673576966,-0.888780071,-0.636859406,-0.733004307,-0.556379537,-0.617084569,-0.479539927,-0.378186724,-0.389755897,-0.321635632,-0.336098579,0.22594197,-0.13782847,-0.172783157,0.061598893,0.112904088,0.767792612,-0.212848447,0.211220193,0.662226071,0.887818348,1.177441642,0.964616611,0.843468734,0.760215883,0.825752503,-0.078609451,-0.283550736,0.016504779,-0.2110869,0.002920112,1.436204444,1.656692963,1.377382039,5.7290707,1.291519652,-0.097612195,-0.217976142,0.080033278,0.065232577,-0.100959268
10.2267,1601.133333,L-phenylalanine 2TMS,Amino acids,-0.893342253,-1.553471789,-1.136313892,-0.851677767,-1.145099333,-0.805860628,-1.035625309,-0.668316571,-0.691832649,-0.672683917,-1.01114749,-0.901288625,-0.858997176,-0.908355437,-0.750976313,-1.133394908,-1.211292282,-0.968612318,-0.956981223,-0.927540684,-1.455198651,-0.837652381,-1.073079706,-0.640688906,-0.789249631,-0.452682633,-0.204736851,-0.233037679,-0.066403688,-0.101781901,0.187102948,0.383194219,0.297695696,0.870983701,0.996472806,0.076973588,0.199696001,1.236947075,0.30211057,1.303905085,1.628921872,0.716286457,0.687683158,0.76451443,0.206391835,0.528041873,0.02675549,0.760686299,0.204004766,0.727459002,0.882113367,2.752970895,2.008815395,2.159160482,2.090400468,0.481561937,0.187153592,0.916073005,0.879871456,0.473375123
10.31587347,1609.079592,L-(+)-Tartaric acid 4TMS,Organic acids,-0.662209099,-0.71189356,-0.213553087,-0.441402964,-0.413639644,-0.523112715,-0.472839866,-0.18418728,-0.059946953,0.044378899,-0.40425075,-0.511920922,-0.3684072,-0.521124503,-0.321550404,-0.654179966,-0.823877939,-0.546473386,-0.563484672,-0.584275579,-0.391155552,-0.272446549,-0.432231989,-0.026698651,-0.500510316,-1.047377469,-2.853643119,-1.286436522,-2.648644138,-2.701071885,0.67250352,0.650631111,-0.105578893,0.857362582,0.971408895,-0.195505095,0.421416955,1.868877979,0.650743214,0.606468902,0.608985777,1.009591999,1.014615275,0.854629784,0.41499821,0.555128862,0.518646915,1.037957388,0.331917378,1.123252743,1.605830356,1.763128704,0.930457618,1.260985516,0.775005924,0.397301416,0.175578994,1.324734118,0.845826234,-1.848734598
10.5138625,1626.722917,2-Keto-L-gulonic acid,Carbohydrates,-0.648102189,-0.754394259,-0.1404584,-0.164420205,-0.272914749,-0.355561507,-0.456989392,-0.399094259,-0.209058568,-0.041322985,-0.597526732,-0.219071594,0.087235347,-0.625804435,-0.298574582,-0.717777246,-0.454480485,-0.69930183,-1.146953125,-0.82295979,-0.575758502,-0.522190875,-0.775918149,-0.891281179,-0.859518021,-1.920183954,-1.692707256,-1.71867192,-1.565792651,-1.598250678,0.369919502,-1.153302954,-1.231744969,-0.705771683,-0.590639317,0.985369021,1.075388744,1.813893543,0.21902692,1.192856077,0.476240838,1.442175782,1.435811256,0.459879411,0.827157616,1.203043361,0.865856741,1.244166833,0.94656857,1.493406492,1.536568261,1.743660868,1.243462184,1.513354672,1.258114452,0.799928424,0.246899256,-0.664403647,1.085246715,-0.074328798
11.50953235,1716.047059,"Arabinose, 4TMS",Carbohydrates,-0.690575177,-0.540520839,0.182350466,-0.345429216,-0.456895255,0.01109407,-0.34836343,0.07354383,-0.024987191,0.529322092,-0.924167195,-0.391493542,-0.007382957,-0.886446103,-0.077477504,-0.927024536,-0.764676788,0.912884741,1.127172276,-0.572258209,0.334341186,0.666839883,0.404066669,1.724615313,0.521344761,1.178780041,1.124576837,0.289761418,1.045889717,0.975299323,-1.053288633,-0.681900462,-0.843830851,0.24195069,0.479621311,2.052084617,-1.029437943,0.935068548,-0.835469276,-0.994671491,-2.049823042,-0.051038829,-0.105212175,0.040302754,-1.016756328,-0.407565525,-1.356979791,0.033052448,-1.021277333,-0.029878538,4.315470075,-0.772747986,-0.778716491,1.408753266,0.851865872,-0.495596426,-1.053192716,0.327347769,0.258783692,-0.511101883
11.55336875,1720.0875,"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,-0.686068106,-0.861607492,3.23574688,-0.175340089,-0.321112192,-0.662806764,-0.23475078,-0.198439179,-0.18701371,-0.109098219,-0.71739277,-0.248982257,-0.184150291,-0.222398221,-0.092845442,-0.351774388,2.94542588,-0.000906368,3.444397549,-0.236814313,-0.300118528,-0.045940034,-0.733860847,-0.618887983,-0.054096314,-0.568897901,-0.026541915,3.236034292,-0.028275574,3.231102396,-0.398782753,-0.346643395,-0.369376878,-0.216943503,-0.183576814,0.051321914,-0.395434344,-0.119636364,-0.368202993,-0.390553466,-0.538686683,-0.258076437,-0.265681859,-0.24525295,-0.393653966,-0.308129386,-0.441418096,-0.246270824,-0.394288672,-0.255105734,0.232652864,-0.359397522,-0.360235443,-0.050706489,-0.141050371,-0.320488085,-0.398769288,-0.204954567,-0.21458031,-0.322664904
11.7841,1741.426087,"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,1.312025119,1.081871178,1.424082825,1.285123954,1.183786832,0.953221651,1.140755561,0.878543891,1.083340778,1.087102729,1.019911212,0.926007906,0.793749302,0.639540733,1.149181426,0.603382427,0.600984179,-1.840279517,1.06156041,0.681465326,-2.295170175,-1.717851627,-1.937941134,-1.533720826,-1.672602395,1.315620571,1.036259684,1.16866397,-0.996853268,1.109299688,-0.759864173,-0.57654951,-0.656477252,-0.12054271,-0.003230048,-0.862817909,-0.748091638,0.221575732,-0.652350035,-0.730931157,-1.251746033,-0.265160409,-0.291900015,-0.220074805,0.273270053,-0.441139624,-0.909763984,-0.223653509,-0.744063617,-0.254715829,-0.110138214,-0.621391233,-0.624337246,-0.559718823,-0.868814965,-0.484591089,1.629025431,-0.078391271,-0.11223405,-0.492244479
11.85652211,1748.105263,"Fructose, MEOX-5TMS",Carbohydrates,0.624430963,0.625454129,-0.965320488,-0.96456283,0.624473426,-0.961213785,0.571389977,-0.954944462,0.567097565,2.16874073,-0.970261139,-0.96567515,-0.977025991,-0.983036358,-0.96161631,-0.96705071,2.169332363,0.575744345,-1.027260962,0.610366428,0.602576358,-0.979150534,-1.006116558,-0.977473024,-0.99056222,2.209782627,0.580752566,0.51202319,-0.946841071,2.061331638,0.674141099,0.552042739,-0.910947093,0.583198247,0.571201085,0.716595566,-0.834407291,-0.725494867,0.716971928,-0.834096707,0.800943697,-0.778189491,-0.785771944,-0.819471902,0.704228118,-0.844992265,0.655519018,2.193598889,0.648156782,-0.820266225,-0.757143668,0.872693028,0.796052653,0.810352703,0.736871669,-0.834846273,0.603676298,-0.859237006,-0.833555654,-0.903207847
11.86120435,1748.534783,Glyceric acid 3TMS,Organic acids,-1.194471055,-1.631365229,-1.355269702,0.686008581,-1.361084009,-1.136576672,0.722180922,-1.045552159,0.8821158,0.771900012,0.893223879,0.62975905,-1.171741813,-1.204406656,-1.100255007,-0.634750327,0.715096709,0.574716705,0.615058998,-1.217103313,-1.566319406,-1.157616063,0.444313676,-1.027268674,-1.125583736,-0.902850014,-0.738765424,0.842437849,-0.647220066,-0.670632454,-0.479456063,-0.349688143,0.881967557,-0.026882379,1.497317133,-0.552336742,-0.471122317,0.215302132,1.336062678,-0.458974461,-0.827658315,-0.129256777,-0.148185658,-0.097340825,1.593251012,1.602319662,1.083478384,-0.099874177,1.099343334,1.735536732,-0.019517071,2.077869853,1.630382465,-0.33777375,1.692106056,-0.284591058,1.257793428,0.002956485,-0.021000707,-0.290008869
